id,careers,courses
1228,Agricultural Technology and Operations,Bachelor of Science Food Science & Technology (Hons)
1229,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science With Major in Physics
1230,"Airline Pilots, Copilots, and Flight Engineers",BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
1231,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science Physics (Hons)
1232,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science in Physics (Honours)
1233,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science in Physics (Honours) Self Financed
1234,"Airline Pilots, Copilots, and Flight Engineers",BSc Physics
1235,"Airline Pilots, Copilots, and Flight Engineers",BSc in Physics
1236,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science With Major in Mathematics
1237,"Airline Pilots, Copilots, and Flight Engineers",BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1238,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science Mathematics (Hons)
1239,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Arts/Science Mathematics (Hons)
1240,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science in Mathematics (Honours)
1241,"Airline Pilots, Copilots, and Flight Engineers",Bachelor of Science in Mathematics (Honours) Self Financed
1242,"Airline Pilots, Copilots, and Flight Engineers",5 Year Integrated Programme in Mathematics
1243,"Airline Pilots, Copilots, and Flight Engineers",BSc Mathematics
1244,"Airline Pilots, Copilots, and Flight Engineers",BSc in Mathematics
1245,Architects,Design Your Degree
1246,Architects,Design Your Degree (DYD)
1247,Biological Technicians,Bachelor of Science with Major in Biotechnology
1248,Biological Technicians,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
1249,Biological Technicians,Bachelor of Science Biotechnology (Hons)
1250,Biological Technicians,Bachelor of Science in Biotechnology (Honours)
1251,Biological Technicians,Bachelor of Science in Biotechnology (Honours) Self Financed
1252,Biological Technicians,BSc Biotechnology
1253,Biological Technicians,BSc in Biotechnology
1254,Biological Technicians,Bachelor of Science with Major in Biochemistry
1255,Biological Technicians,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
1256,Biological Technicians,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
1257,Biological Technicians,Bachelor of Science Bio-Chemistry (Hons)
1258,Biological Technicians,Bachelor of Science Clinical Bio-Chemistry (Hons)
1259,Biological Technicians,Bachelor of Science in Bio-Chemistry (Honours)
1260,Biological Technicians,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
1261,Biological Technicians,Bachelor of Science Biochemistry (Hons)
1262,Biological Technicians,Bachelor of Science with Major in Botany
1263,Biological Technicians,BACHELORS (HONOURS) WITH BOTANY AS MAJOR
1264,Biological Technicians,Bachelor of Science Botany (Hons)
1265,Biological Technicians,Bachelor of Science Botany (Honours)
1266,Biological Technicians,Bachelor of Science Botany (Honours) Self Financed
1267,Biological Technicians,Bachelor of Science in Botany (Integrated)
1268,Biological Technicians,Bachelor of Science in Botany (Integrated) Self Financed
1269,Biological Technicians,BSc Botany
1270,Biological Technicians,BSc in Botany
1271,Biological Technicians,Bachelor of Science With Major in Zoology
1272,Biological Technicians,BACHELORS (HONOURS) WITH ZOOLOGY AS MAJOR
1273,Biological Technicians,Bachelor of Science Zoology (Hons)
1274,Biological Technicians,Bachelor of Science in Zoology (Integrated)
1275,Biological Technicians,Bachelor of Science in Zoology (Integrated) Self Financed
1276,Biological Technicians,Bachelor of Science in Zoology (Honours)
1277,Biological Technicians,Bachelor of Science in Zoology (Honours) Self Financed
1278,Biological Technicians,BACHELORS OF SCIENCE IN ZOLOOGY AS MAJOR
1279,Biological Technicians,BSc Zoology
1280,Biological Technicians,BSc in Zoology
1281,Biological Technicians,BACHELORS (HONOURS) WITH BIO-RESOURCES AS MAJOR
1282,CAD Technicians,Design Your Degree
1283,CAD Technicians,Design Your Degree (DYD)
1284,CAD Technicians,Bachelor of Science With Major in Computer Application
1285,CAD Technicians,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
1286,CAD Technicians,Bachelor of Computer Applications (Hons)
1287,CAD Technicians,Bachelor of Computer Application (Hons)
1288,CAD Technicians,Bachelor of Computer Applications (Honours)
1289,CAD Technicians,Bachelor of Computer Applications (Honours) Self Financed
1290,CAD Technicians,B.Sc Computer Applications
1291,CAD Technicians,Bachelor of Computer Applications
1292,CAD Technicians,Bachelor of Computer Applications Self Financed
1293,CAD Technicians,Bachelor of Science With Major in Information Technology
1294,CAD Technicians,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
1295,CAD Technicians,Bachelor of Science Information Technology (Hons)
1296,CAD Technicians,Bachelor of Science in Information Technology (Honours)
1297,CAD Technicians,Bachelor of Science in Information Technology (Honours) Self Financed
1298,Energy & Industrial Technicians,Bachelor of Science With Major in Physics
1299,Energy & Industrial Technicians,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
1300,Energy & Industrial Technicians,Bachelor of Science Physics (Hons)
1301,Energy & Industrial Technicians,Bachelor of Science in Physics (Honours)
1302,Energy & Industrial Technicians,Bachelor of Science in Physics (Honours) Self Financed
1303,Energy & Industrial Technicians,BSc Physics
1304,Energy & Industrial Technicians,BSc in Physics
1305,Energy & Industrial Technicians,Bachelor of Science With Major in Chemistry
1306,Energy & Industrial Technicians,BACHELORS (HONOURS) WITH CHEMISTRY AS MAJOR
1307,Energy & Industrial Technicians,Bachelor of Science Chemistry (Hons)
1308,Energy & Industrial Technicians,Bachelor of Science in Chemistry (Honours)
1309,Energy & Industrial Technicians,Bachelor of Science in Chemistry (Honours) Self Financed
1310,Energy & Industrial Technicians,Bachelor of Science in Chemistry (Integrated)
1311,Energy & Industrial Technicians,Bachelor of Science in Chemistry (Integrated) Self Financed
1312,Energy & Industrial Technicians,BSc Chemistry
1313,Energy & Industrial Technicians,BSc in Chemistry
1314,Energy & Industrial Technicians,Bachelor of Science With Major in Electronics
1315,Energy & Industrial Technicians,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR
1316,Energy & Industrial Technicians,Bachelor of Science in Electronics (Honours)
1317,Energy & Industrial Technicians,Bachelor of Science in Electronics (Honours) Self Financed
1318,Energy & Industrial Technicians,Bachelor of Science Electronics (Hons)
1319,Energy & Industrial Technicians,BSc in Electronics
1320,Energy & Industrial Technicians,Bachelor of Science With Major in Environmental Science
1321,Energy & Industrial Technicians,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
1322,Energy & Industrial Technicians,Bachelor of Science Environmental Science (Hons)
1323,Histology Technicians,Bachelor of Science with Major in Biochemistry
1324,Histology Technicians,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
1325,Histology Technicians,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
1326,Histology Technicians,Bachelor of Science Bio-Chemistry (Hons)
1327,Histology Technicians,Bachelor of Science Clinical Bio-Chemistry (Hons)
1328,Histology Technicians,Bachelor of Science in Bio-Chemistry (Honours)
1329,Histology Technicians,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
1330,Histology Technicians,Bachelor of Science Biochemistry (Hons)
1331,Histology Technicians,Bachelor of Science with Major in Biotechnology
1332,Histology Technicians,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
1333,Histology Technicians,Bachelor of Science Biotechnology (Hons)
1334,Histology Technicians,Bachelor of Science in Biotechnology (Honours)
1335,Histology Technicians,Bachelor of Science in Biotechnology (Honours) Self Financed
1336,Histology Technicians,BSc Biotechnology
1337,Histology Technicians,BSc in Biotechnology
1338,Hydrologic Technicians,Bachelor of Science With Major in Geography
1339,Hydrologic Technicians,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR
1340,Hydrologic Technicians,Bachelor of Arts/Science Geography (Hons)
1341,Hydrologic Technicians,BSc Geography
1342,Hydrologic Technicians,BSc in Geography
1343,Hydrologic Technicians,Bachelor of Science With Major in Geology
1344,Hydrologic Technicians,BACHELORS (HONOURS) WITH GEOLOGY AS MAJOR
1345,Hydrologic Technicians,Bachelor of Science Geology (Hons)
1346,Hydrologic Technicians,BSc in Geology
1347,Hydrologic Technicians,Bachelor of Science With Major in Environmental Science
1348,Hydrologic Technicians,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
1349,Hydrologic Technicians,Bachelor of Science Environmental Science (Hons)
1350,Landscape Architects,Design Your Degree
1351,Landscape Architects,Design Your Degree (DYD)
1352,Landscape Architects,Bachelor of Science With Major in Geography
1353,Landscape Architects,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR
1354,Landscape Architects,Bachelor of Arts/Science Geography (Hons)
1355,Landscape Architects,BSc Geography
1356,Landscape Architects,BSc in Geography
1357,Landscape Architects,Bachelor of Science With Major in Environmental Science
1358,Landscape Architects,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
1359,Landscape Architects,Bachelor of Science Environmental Science (Hons)
1360,Manufacturing Engineers,Bachelor of Science With Major in Physics
1361,Manufacturing Engineers,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
1362,Manufacturing Engineers,Bachelor of Science Physics (Hons)
1363,Manufacturing Engineers,Bachelor of Science in Physics (Honours)
1364,Manufacturing Engineers,Bachelor of Science in Physics (Honours) Self Financed
1365,Manufacturing Engineers,BSc Physics
1366,Manufacturing Engineers,BSc in Physics
1367,Manufacturing Engineers,Bachelor of Science With Major in Chemistry
1368,Manufacturing Engineers,BACHELORS (HONOURS) WITH CHEMISTRY AS MAJOR
1369,Manufacturing Engineers,Bachelor of Science Chemistry (Hons)
1370,Manufacturing Engineers,Bachelor of Science in Chemistry (Honours)
1371,Manufacturing Engineers,Bachelor of Science in Chemistry (Honours) Self Financed
1372,Manufacturing Engineers,Bachelor of Science in Chemistry (Integrated)
1373,Manufacturing Engineers,Bachelor of Science in Chemistry (Integrated) Self Financed
1374,Manufacturing Engineers,BSc Chemistry
1375,Manufacturing Engineers,BSc in Chemistry
1376,Manufacturing Engineers,Bachelor of Science With Major in Electronics
1377,Manufacturing Engineers,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR
1378,Manufacturing Engineers,Bachelor of Science in Electronics (Honours)
1379,Manufacturing Engineers,Bachelor of Science in Electronics (Honours) Self Financed
1380,Manufacturing Engineers,Bachelor of Science Electronics (Hons)
1381,Manufacturing Engineers,BSc in Electronics
1382,Manufacturing Engineers,Bachelor of Science With Major in Mathematics
1383,Manufacturing Engineers,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1384,Manufacturing Engineers,Bachelor of Science Mathematics (Hons)
1385,Manufacturing Engineers,Bachelor of Arts/Science Mathematics (Hons)
1386,Manufacturing Engineers,Bachelor of Science in Mathematics (Honours)
1387,Manufacturing Engineers,Bachelor of Science in Mathematics (Honours) Self Financed
1388,Manufacturing Engineers,5 Year Integrated Programme in Mathematics
1389,Manufacturing Engineers,BSc Mathematics
1390,Manufacturing Engineers,BSc in Mathematics
1391,Nuclear Technicians,Bachelor of Science With Major in Physics
1392,Nuclear Technicians,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
1393,Nuclear Technicians,Bachelor of Science Physics (Hons)
1394,Nuclear Technicians,Bachelor of Science in Physics (Honours)
1395,Nuclear Technicians,Bachelor of Science in Physics (Honours) Self Financed
1396,Nuclear Technicians,BSc Physics
1397,Nuclear Technicians,BSc in Physics
1398,Nuclear Technicians,Bachelor of Science With Major in Chemistry
1399,Nuclear Technicians,BACHELORS (HONOURS) WITH CHEMISTRY AS MAJOR
1400,Nuclear Technicians,Bachelor of Science Chemistry (Hons)
1401,Nuclear Technicians,Bachelor of Science in Chemistry (Honours)
1402,Nuclear Technicians,Bachelor of Science in Chemistry (Honours) Self Financed
1403,Nuclear Technicians,Bachelor of Science in Chemistry (Integrated)
1404,Nuclear Technicians,Bachelor of Science in Chemistry (Integrated) Self Financed
1405,Nuclear Technicians,BSc Chemistry
1406,Nuclear Technicians,BSc in Chemistry
1407,Nuclear Technicians,Bachelor of Science With Major in Mathematics
1408,Nuclear Technicians,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1409,Nuclear Technicians,Bachelor of Science Mathematics (Hons)
1410,Nuclear Technicians,Bachelor of Arts/Science Mathematics (Hons)
1411,Nuclear Technicians,Bachelor of Science in Mathematics (Honours)
1412,Nuclear Technicians,Bachelor of Science in Mathematics (Honours) Self Financed
1413,Actors,Bachelor of Arts & Humanities With Major in English/English Literature
1414,Actors,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR
1415,Actors,Bachelor of Arts English (Hons)
1416,Actors,Bachelor of Arts English Literature (Hons)
1417,Actors,Bachelor of Arts in English Literature (Honours)
1418,Actors,Bachelor of Arts in English Literature (Honours) Self Financed
1419,Actors,BA English Literature
1420,Actors,Bachelor of Arts & Humanities With Major in Music
1421,Actors,BACHELORS (HONOURS) WITH INDIAN MUSIC AS MAJOR
1422,Actors,Bachelor of Arts Music (Hons)
1423,Actors,BA Music
1424,Actors,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1425,Actors,Bachelor of Multimedia and Mass Communication
1426,Actors,Bachelor of Arts Journalism & Mass Communication (Hons)
1427,Actors,BA Mass Communication and Multimedia Production
1428,Applied and Decorative Arts,Design Your Degree
1429,Applied and Decorative Arts,Design Your Degree (DYD)
1430,Applied and Decorative Arts,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1431,Applied and Decorative Arts,Bachelor of Multimedia and Mass Communication
1432,Applied and Decorative Arts,Bachelor of Arts Journalism & Mass Communication (Hons)
1433,Applied and Decorative Arts,BA Mass Communication and Multimedia Production
1434,Audio and Video Technicians,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1435,Audio and Video Technicians,Bachelor of Multimedia and Mass Communication
1436,Audio and Video Technicians,Bachelor of Arts Journalism & Mass Communication (Hons)
1437,Audio and Video Technicians,BA Mass Communication and Multimedia Production
1438,Audio and Video Technicians,Bachelor of Science With Major in Electronics
1439,Audio and Video Technicians,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR
1440,Audio and Video Technicians,Bachelor of Science in Electronics (Honours)
1441,Audio and Video Technicians,Bachelor of Science in Electronics (Honours) Self Financed
1442,Audio and Video Technicians,Bachelor of Science Electronics (Hons)
1443,Audio and Video Technicians,BSc in Electronics
1444,Audio and Video Technicians,Bachelor of Science With Major in Computer Application
1445,Audio and Video Technicians,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
1446,Audio and Video Technicians,Bachelor of Computer Applications (Hons)
1447,Audio and Video Technicians,Bachelor of Computer Application (Hons)
1448,Audio and Video Technicians,Bachelor of Computer Applications (Honours)
1449,Audio and Video Technicians,Bachelor of Computer Applications (Honours) Self Financed
1450,Audio and Video Technicians,B.Sc Computer Applications
1451,Audio and Video Technicians,Bachelor of Computer Applications
1452,Audio and Video Technicians,Bachelor of Computer Applications Self Financed
1453,Audio and Video Technicians,Bachelor of Science With Major in Information Technology
1454,Audio and Video Technicians,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
1455,Audio and Video Technicians,Bachelor of Science Information Technology (Hons)
1456,Audio and Video Technicians,Bachelor of Science in Information Technology (Honours)
1457,Audio and Video Technicians,Bachelor of Science in Information Technology (Honours) Self Financed
1458,Choreographers,Bachelor of Social and Behavioural Science With Major in Physical Education
1459,Choreographers,Bachelor of Arts & Humanities With Major in Music
1460,Choreographers,BACHELORS (HONOURS) WITH INDIAN MUSIC AS MAJOR
1461,Choreographers,Bachelor of Arts Music (Hons)
1462,Choreographers,BA Music
1463,Creative and Media Directors,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1464,Creative and Media Directors,Bachelor of Multimedia and Mass Communication
1465,Creative and Media Directors,Bachelor of Arts Journalism & Mass Communication (Hons)
1466,Creative and Media Directors,BA Mass Communication and Multimedia Production
1467,Creative and Media Directors,Bachelor of Arts & Humanities With Major in English/English Literature
1468,Creative and Media Directors,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR
1469,Creative and Media Directors,Bachelor of Arts English (Hons)
1470,Creative and Media Directors,Bachelor of Arts English Literature (Hons)
1471,Creative and Media Directors,Bachelor of Arts in English Literature (Honours)
1472,Creative and Media Directors,Bachelor of Arts in English Literature (Honours) Self Financed
1473,Creative and Media Directors,BA English Literature
1474,Creative and Media Directors,Design Your Degree
1475,Creative and Media Directors,Design Your Degree (DYD)
1476,Creative and Media Directors,Bachelor of Arts & Humanities With Major in Music
1477,Creative and Media Directors,BACHELORS (HONOURS) WITH INDIAN MUSIC AS MAJOR
1478,Creative and Media Directors,Bachelor of Arts Music (Hons)
1479,Creative and Media Directors,BA Music
1480,Creative Arts and Design Professionals,Design Your Degree
1481,Creative Arts and Design Professionals,Design Your Degree (DYD)
1482,Creative Arts and Design Professionals,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1483,Creative Arts and Design Professionals,Bachelor of Multimedia and Mass Communication
1484,Creative Arts and Design Professionals,Bachelor of Arts Journalism & Mass Communication (Hons)
1485,Creative Arts and Design Professionals,BA Mass Communication and Multimedia Production
1486,Digital Designers,Bachelor of Science With Major in Computer Application
1487,Digital Designers,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
1488,Digital Designers,Bachelor of Computer Applications (Hons)
1489,Digital Designers,Bachelor of Computer Application (Hons)
1490,Digital Designers,Bachelor of Computer Applications (Honours)
1491,Digital Designers,Bachelor of Computer Applications (Honours) Self Financed
1492,Digital Designers,B.Sc Computer Applications
1493,Digital Designers,Bachelor of Computer Applications
1494,Digital Designers,Bachelor of Computer Applications Self Financed
1495,Digital Designers,Bachelor of Science With Major in Information Technology
1496,Digital Designers,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
1497,Digital Designers,Bachelor of Science Information Technology (Hons)
1498,Digital Designers,Bachelor of Science in Information Technology (Honours)
1499,Digital Designers,Bachelor of Science in Information Technology (Honours) Self Financed
1500,Digital Designers,Design Your Degree
1501,Digital Designers,Design Your Degree (DYD)
1502,Digital Designers,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1503,Digital Designers,Bachelor of Multimedia and Mass Communication
1504,Digital Designers,Bachelor of Arts Journalism & Mass Communication (Hons)
1505,Digital Designers,BA Mass Communication and Multimedia Production
1506,Editors,Bachelor of Arts & Humanities With Major in English/English Literature
1507,Editors,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR
1508,Editors,Bachelor of Arts English (Hons)
1509,Editors,Bachelor of Arts English Literature (Hons)
1510,Editors,Bachelor of Arts in English Literature (Honours)
1511,Editors,Bachelor of Arts in English Literature (Honours) Self Financed
1512,Editors,BA English Literature
1513,Editors,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1514,Editors,Bachelor of Multimedia and Mass Communication
1515,Editors,Bachelor of Arts Journalism & Mass Communication (Hons)
1516,Editors,BA Mass Communication and Multimedia Production
1517,Musicians and Singers,Bachelor of Arts & Humanities With Major in Music
1518,Musicians and Singers,BACHELORS (HONOURS) WITH INDIAN MUSIC AS MAJOR
1519,Musicians and Singers,Bachelor of Arts Music (Hons)
1520,Musicians and Singers,BA Music
1521,"News Analysts, Reporters, and Journalists",BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1522,"News Analysts, Reporters, and Journalists",Bachelor of Multimedia and Mass Communication
1523,"News Analysts, Reporters, and Journalists",Bachelor of Arts Journalism & Mass Communication (Hons)
1524,"News Analysts, Reporters, and Journalists",BA Mass Communication and Multimedia Production
1525,"News Analysts, Reporters, and Journalists",Bachelor of Arts & Humanities With Major in English/English Literature
1526,"News Analysts, Reporters, and Journalists",BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR
1527,"News Analysts, Reporters, and Journalists",Bachelor of Arts English (Hons)
1528,"News Analysts, Reporters, and Journalists",Bachelor of Arts English Literature (Hons)
1529,"News Analysts, Reporters, and Journalists",Bachelor of Arts in English Literature (Honours)
1530,"News Analysts, Reporters, and Journalists",Bachelor of Arts in English Literature (Honours) Self Financed
1531,"News Analysts, Reporters, and Journalists",BA English Literature
1532,"News Analysts, Reporters, and Journalists",Bachelor of Social and Behavioral Science With Major in Economics
1533,"News Analysts, Reporters, and Journalists",BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
1534,"News Analysts, Reporters, and Journalists",Bachelor of Arts Economics (Hons)
1535,"News Analysts, Reporters, and Journalists",Bachelor of Arts in Economics (Honours)
1536,"News Analysts, Reporters, and Journalists",Bachelor of Arts in Economics (Honours) Self Financed
1537,"News Analysts, Reporters, and Journalists",BA Economics
1538,Space & Product Designers,Design Your Degree
1539,Space & Product Designers,Design Your Degree (DYD)
1540,Space & Product Designers,Bachelor of Science With Major in Computer Application
1541,Space & Product Designers,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
1542,Space & Product Designers,Bachelor of Computer Applications (Hons)
1543,Space & Product Designers,Bachelor of Computer Application (Hons)
1544,Space & Product Designers,Bachelor of Computer Applications (Honours)
1545,Space & Product Designers,Bachelor of Computer Applications (Honours) Self Financed
1546,Space & Product Designers,B.Sc Computer Applications
1547,Space & Product Designers,Bachelor of Computer Applications
1548,Space & Product Designers,Bachelor of Computer Applications Self Financed
1549,Space & Product Designers,Bachelor of Science With Major in Information Technology
1550,Space & Product Designers,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
1551,Space & Product Designers,Bachelor of Science Information Technology (Hons)
1552,Space & Product Designers,Bachelor of Science in Information Technology (Honours)
1553,Space & Product Designers,Bachelor of Science in Information Technology (Honours) Self Financed
1554,Space & Product Designers,Bachelor of Science With Major in Physics
1555,Space & Product Designers,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
1556,Space & Product Designers,Bachelor of Science Physics (Hons)
1557,Space & Product Designers,Bachelor of Science in Physics (Honours)
1558,Space & Product Designers,Bachelor of Science in Physics (Honours) Self Financed
1559,Space & Product Designers,BSc Physics
1560,Space & Product Designers,BSc in Physics
1561,Visual and Appearance Designers,Design Your Degree
1562,Visual and Appearance Designers,Design Your Degree (DYD)
1563,Visual and Appearance Designers,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
1564,Visual and Appearance Designers,Bachelor of Multimedia and Mass Communication
1565,Visual and Appearance Designers,Bachelor of Arts Journalism & Mass Communication (Hons)
1566,Visual and Appearance Designers,BA Mass Communication and Multimedia Production
1567,Writers and Authors,Bachelor of Arts & Humanities With Major in English/English Literature
1568,Writers and Authors,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR
1569,Writers and Authors,Bachelor of Arts English (Hons)
1570,Writers and Authors,Bachelor of Arts English Literature (Hons)
1571,Writers and Authors,Bachelor of Arts in English Literature (Honours)
1572,Writers and Authors,Bachelor of Arts in English Literature (Honours) Self Financed
1573,Writers and Authors,BA English Literature
1574,Writers and Authors,Bachelor of Social and Behavioural Science With Major in Philosophy
1575,Writers and Authors,Bachelor of Arts Philosophy (Hons)
1576,Writers and Authors,BACHELORS (HONOURS) WITH PHILOSOPHY AS MAJOR
1577,Writers and Authors,BA Philosophy
1578,Writers and Authors,Bachelor of Social and Behavioural Science With Major in History
1579,Writers and Authors,BACHELORS (HONOURS) WITH HISTORY AS MAJOR
1580,Writers and Authors,Bachelor of Arts History (Hons)
1581,Writers and Authors,BA History
1582,Accountants and Auditors,BACHELORS (HONOURS) WITH ACCOUNTING & TAXATION (COMMERCE) AS MAJOR
1583,Accountants and Auditors,Bachelor of Commerce in Accounting & Taxation (Hons)
1584,Accountants and Auditors,Bachelor of Commerce in Accounting & Taxation (Honours)
1585,Accountants and Auditors,Bachelor of Commerce in Accounting & Taxation (Honours) Self Financed
1586,Accountants and Auditors,Bachelor of Commerce (Hons)
1587,Accountants and Auditors,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR
1588,Accountants and Auditors,Bachelor of Commerce
1589,Accountants and Auditors,Bachelor of Commerce With Major in Business Studies
1590,Accountants and Auditors,Bachelor of Management with Major in Business Management
1591,Accountants and Auditors,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
1592,Accountants and Auditors,Bachelor of business Administration (Hons)
1593,Accountants and Auditors,Bachelor of Business Administration (Honours)
1594,Accountants and Auditors,Bachelor of Business Administration (Honours) Self Financed
1595,Accountants and Auditors,Bachelor of Commerce With Major in Accounting and Finance
1596,Accountants and Auditors,Bachelor of Business Administration in Financial Management (Hons)
1597,Accountants and Auditors,Bachelor of Commerce in Finance (Hons)
1598,Accountants and Auditors,Bachelor of Commerce in Finance (Honours)
1599,Accountants and Auditors,Bachelor of Commerce in Finance (Honours) Self Financed
1600,Accountants and Auditors,BACHELORS (HONOURS) WITH COMMERCE (FINANCE) AS MAJOR
1601,Accountants and Auditors,Bachelor of Science With Major in Statistics
1602,Accountants and Auditors,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
1603,Accountants and Auditors,Bachelor of Science Statistics (Hons)
1604,Accountants and Auditors,Bachelor of Arts/Science Statistics (Hons)
1605,Accountants and Auditors,Bachelor of Science With Major in Mathematics
1606,Accountants and Auditors,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1607,Accountants and Auditors,Bachelor of Science Mathematics (Hons)
1608,Accountants and Auditors,Bachelor of Arts/Science Mathematics (Hons)
1609,Accountants and Auditors,Bachelor of Science in Mathematics (Honours)
1610,Accountants and Auditors,Bachelor of Science in Mathematics (Honours) Self Financed
1611,Accountants and Auditors,5 Year Integrated Programme in Mathematics
1612,Accountants and Auditors,BSc Mathematics
1613,Accountants and Auditors,BSc in Mathematics
1614,"Administrative Law Judges, Adjudicators, and Hearing Officers",Bachelor of Social and Behavioural Science With Major in Political Science
1615,"Administrative Law Judges, Adjudicators, and Hearing Officers",BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
1616,"Administrative Law Judges, Adjudicators, and Hearing Officers",Bachelor of Arts Political Science (Hons)
1617,"Administrative Law Judges, Adjudicators, and Hearing Officers",BA Political Science
1618,"Administrative Law Judges, Adjudicators, and Hearing Officers",Bachelor of Social and Behavioural Science With Major in History
1619,"Administrative Law Judges, Adjudicators, and Hearing Officers",BACHELORS (HONOURS) WITH HISTORY AS MAJOR
1620,"Administrative Law Judges, Adjudicators, and Hearing Officers",Bachelor of Arts History (Hons)
1621,"Administrative Law Judges, Adjudicators, and Hearing Officers",BA History
1622,"Administrative Law Judges, Adjudicators, and Hearing Officers",Bachelor of Social and Behavioural Science With Major in Philosophy
1623,"Administrative Law Judges, Adjudicators, and Hearing Officers",Bachelor of Arts Philosophy (Hons)
1624,"Administrative Law Judges, Adjudicators, and Hearing Officers",BACHELORS (HONOURS) WITH PHILOSOPHY AS MAJOR
1625,"Administrative Law Judges, Adjudicators, and Hearing Officers",BA Philosophy
1626,Airfield Operations Specialists,Bachelor of Science With Major in Physics
1627,Airfield Operations Specialists,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
1628,Airfield Operations Specialists,Bachelor of Science Physics (Hons)
