Aishe Code,Name,District,State,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type,For_girls
C-47441,Government Degree College Charar i Sharief,Budgam,Jammu and Kashmir,,2011,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22958,Government Degree College Chatroo,Kishtwar,Jammu and Kashmir,https://gdcchatroo.in/,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63675,Government Degree College Chenani,Udhampur,Jammu and Kashmir,https://www.facebook.com/gdcchenani/,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-48529,Government Degree College D H Pora,Kulgam,Jammu and Kashmir,,2011,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-64714,Government Degree College Danghiwacha,Baramulla,Jammu and Kashmir,www.gdcdangiwacha.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-64011,Government Degree College Darhal,Rajouri,Jammu and Kashmir,https://www.facebook.com/p/Gdc-Darhal-100075961309643/,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22995,Government Degree College Dharmari,Reasi,Jammu and Kashmir,www.gdcdharmari.co.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22898,Government Degree College Doda,Doda,Jammu and Kashmir,https://gdcdoda.in/,1989,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63606,Government Degree College Doongi,Rajouri,Jammu and Kashmir,www.gdcdoongi.ac.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21421,Government Degree College Dooru Kashmir,Anantnag,Jammu and Kashmir,,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-64883,Government Degree College Dudu Basantgarh,Udhampur,Jammu and Kashmir,https://gdcdudubasantgarh.co.in/,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-30795,Government Degree College for Women Kathua,Kathua,Jammu and Kashmir,www.gdcwkathua.in,2005,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,true
C-21411,Government Degree College For Women Pulwama Kashmir.,Pulwama,Jammu and Kashmir,gdcwpulwama.edu.in,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,true
C-64949,Government Degree College Frisal Homeshalibugh,Kulgam,Jammu and Kashmir,,2019,Urban,Affiliated College,University,U-0196,"University of Kashmir, Srinagar",State Public University,false
